links,link,title,title_detail,summary,summary_detail,published,published_parsed,id,guidislink
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/culture/article/2014/09/11/antoine-duhamel-le-musicien-de-la-nouvelle-vague_4486331_3246.html'}, {'type': 'image/jpeg', 'length': '20982', 'href': 'http://s1.lemde.fr/image/2014/09/11/534x267/4486295_3_1bbc_l-affiche-de-pierrot-le-fou-de-jean-luc_b19759f8197a61f7bd26b9f698241250.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/culture/article/2014/09/11/antoine-duhamel-le-musicien-de-la-nouvelle-vague_4486331_3246.html,"Antoine Duhamel, le musicien de la Nouvelle Vague, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Antoine Duhamel, le musicien de la Nouvelle Vague, est mort'}","Le compositeur de musiques de films, qui a travaillé avec Jean-Luc Godard, François Truffaut et Bertrand Tavernier, est mort à Paris, le 10 septembre, à l'âge de 89 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Le compositeur de musiques de films, qui a travaillé avec Jean-Luc Godard, François Truffaut et Bertrand Tavernier, est mort à Paris, le 10 septembre, à l'âge de 89 ans.""}","Thu, 11 Sep 2014 20:14:22 GMT","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=11, tm_hour=20, tm_min=14, tm_sec=22, tm_wday=3, tm_yday=254, tm_isdst=0)",http://www.lemonde.fr/tiny/4486331/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2014/09/11/mort-du-compositeur-de-la-nouvelle-vague-antoine-duhamel_4486292_3382.html'}, {'type': 'image/jpeg', 'length': '20982', 'href': 'http://s2.lemde.fr/image/2014/09/11/534x267/4486295_3_1bbc_l-affiche-de-pierrot-le-fou-de-jean-luc_b19759f8197a61f7bd26b9f698241250.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2014/09/11/mort-du-compositeur-de-la-nouvelle-vague-antoine-duhamel_4486292_3382.html,Mort du compositeur de la Nouvelle Vague Antoine Duhamel,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort du compositeur de la Nouvelle Vague Antoine Duhamel'}","Agé de 89 ans, il avait signé la musique de « Pierrot le fou », de Jean-Luc Godard et de nombreux films de François Truffaut.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Agé de 89 ans, il avait signé la musique de «\xa0Pierrot le fou\xa0», de Jean-Luc Godard et de nombreux films de François Truffaut.'}","Thu, 11 Sep 2014 18:04:12 GMT","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=11, tm_hour=18, tm_min=4, tm_sec=12, tm_wday=3, tm_yday=254, tm_isdst=0)",http://www.lemonde.fr/tiny/4486292/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2014/09/11/mort-de-richard-kiel-l-homme-aux-dents-d-acier-dans-james-bond_4485431_3382.html'}, {'type': 'image/jpeg', 'length': '29777', 'href': 'http://s1.lemde.fr/image/2014/09/11/534x267/4485447_3_a32c_richard-kiel-en-janvier-1999_8fa8f70bc51a00b08329fc958dbb2224.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2014/09/11/mort-de-richard-kiel-l-homme-aux-dents-d-acier-dans-james-bond_4485431_3382.html,"Mort de Richard Kiel, l'ennemi aux dents d'acier de James Bond","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Mort de Richard Kiel, l'ennemi aux dents d'acier de James Bond""}","Connu notamment pour son rôle de méchant dans deux James Bond, l'acteur est mort mercredi à l'âge de 74 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Connu notamment pour son rôle de méchant dans deux James Bond, l'acteur est mort mercredi à l'âge de 74 ans.""}","Thu, 11 Sep 2014 06:22:43 GMT","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=11, tm_hour=6, tm_min=22, tm_sec=43, tm_wday=3, tm_yday=254, tm_isdst=0)",http://www.lemonde.fr/tiny/4485431/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2014/09/10/mort-du-compagnon-de-la-liberation-etienne-schlumberger_4485409_3382.html'}, {'type': 'image/jpeg', 'length': '24607', 'href': 'http://s2.lemde.fr/image/2014/09/10/534x267/4485410_3_5620_etienne-schlumberger-le-18-juin-2008-au-mont_679754d762951db351d7a54d78c1339d.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2014/09/10/mort-du-compagnon-de-la-liberation-etienne-schlumberger_4485409_3382.html,Mort du compagnon de la Libération Etienne Schlumberger,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort du compagnon de la Libération Etienne Schlumberger'}","Etienne Schlumberger, compagnon de la Libération, est mort mardi 9 septembre, à l'âge de 99 ans à Crozon (Finistère), a annoncé mercredi l'ordre de la Libération.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Etienne Schlumberger, compagnon de la Libération, est mort mardi 9 septembre, à l'âge de 99 ans à Crozon (Finistère), a annoncé mercredi l'ordre de la Libération.""}","Wed, 10 Sep 2014 21:01:54 GMT","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=10, tm_hour=21, tm_min=1, tm_sec=54, tm_wday=2, tm_yday=253, tm_isdst=0)",http://www.lemonde.fr/tiny/4485409/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2014/09/08/mort-de-roger-auque-ex-otage-au-liban_4483951_3382.html'}, {'type': 'image/jpeg', 'length': '26125', 'href': 'http://s1.lemde.fr/image/2014/09/08/534x267/4483963_3_f263_roger-auque-est-mort-le-8-septembre_dfab4980ed36440b7510a521ec6ed76e.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2014/09/08/mort-de-roger-auque-ex-otage-au-liban_4483951_3382.html,"Mort de Roger Auque, ex-otage au Liban","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de Roger Auque, ex-otage au Liban'}","Le journaliste et diplomate, otage au Liban pendant près d'un an en 1987, est mort lundi à l'âge de 58 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Le journaliste et diplomate, otage au Liban pendant près d'un an en 1987, est mort lundi à l'âge de 58\xa0ans.""}","Mon, 08 Sep 2014 17:13:09 GMT","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=8, tm_hour=17, tm_min=13, tm_sec=9, tm_wday=0, tm_yday=251, tm_isdst=0)",http://www.lemonde.fr/tiny/4483951/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/culture/article/2014/09/05/la-lecon-de-comedie-de-joan-rivers-a-louis-c-k_4482935_3246.html'}, {'type': 'image/jpeg', 'length': '26647', 'href': 'http://s2.lemde.fr/image/2014/09/05/534x267/4482961_3_6f18_joan-rivers-a-cannes-en-octobre-2009_4a4a34a83b423be0fb42fdcd5f1b118b.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/culture/article/2014/09/05/la-lecon-de-comedie-de-joan-rivers-a-louis-c-k_4482935_3246.html,La leçon de comédie de Joan Rivers à Louis C.K.,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La leçon de comédie de Joan Rivers à Louis C.K.'}","L'actrice américaine, décédée le 4 septembre, était apparue en 2011 dans un épisode de la série TV « Louie ».","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""L'actrice américaine, décédée le 4 septembre, était apparue en 2011 dans un épisode de la série TV «\xa0Louie\xa0».""}","Fri, 05 Sep 2014 18:50:45 GMT","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=5, tm_hour=18, tm_min=50, tm_sec=45, tm_wday=4, tm_yday=248, tm_isdst=0)",http://www.lemonde.fr/tiny/4482935/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/culture/article/2014/09/05/l-accordeon-de-michele-guigon-s-est-tu_4482884_3246.html'}, {'type': 'image/jpeg', 'length': '41347', 'href': 'http://s1.lemde.fr/image/2014/09/05/534x267/4482924_3_4166_la-vie-va-ou-de-michele-guigon-photo-e_e049ab09338166d4056e8d2ed9936909.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/culture/article/2014/09/05/l-accordeon-de-michele-guigon-s-est-tu_4482884_3246.html,L'accordéon de Michèle Guigon s'est tu,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""L'accordéon de Michèle\xa0Guigon s'est tu""}","Femme de scène, proche de Jérôme Deschamps, elle savait lier l'art à la vie. Elle est décédée d'un cancer, à l'âge de 55 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Femme de scène, proche de Jérôme Deschamps, elle savait lier l'art à la vie. Elle est décédée d'un cancer, à l'âge de 55\xa0ans.""}","Fri, 05 Sep 2014 18:29:43 GMT","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=5, tm_hour=18, tm_min=29, tm_sec=43, tm_wday=4, tm_yday=248, tm_isdst=0)",http://www.lemonde.fr/tiny/4482884/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2014/09/05/joan-rivers-1933-2014-reine-de-la-scene-comique-americaine_4482751_3382.html'}, {'type': 'image/jpeg', 'length': '32497', 'href': 'http://s2.lemde.fr/image/2014/09/05/534x267/4482765_3_e5f3_joan-rivers-sur-le-plateau-du-show-televise-w_301190dedfc558fe039f1d75fc6ec961.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2014/09/05/joan-rivers-1933-2014-reine-de-la-scene-comique-americaine_4482751_3382.html,"Joan Rivers, reine de la scène comique américaine, est morte","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Joan Rivers, reine de la scène comique américaine, est morte'}","Figure historique du stand up, Joan Rivers est morte à New York, le 4 septembre, à l'âge de 81 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Figure historique du stand up, Joan Rivers est morte à New York, le 4 septembre, à l'âge de 81 ans.""}","Fri, 05 Sep 2014 13:10:10 GMT","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=5, tm_hour=13, tm_min=10, tm_sec=10, tm_wday=4, tm_yday=248, tm_isdst=0)",http://www.lemonde.fr/tiny/4482751/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2014/09/04/l-actrice-americaine-joan-rivers-est-morte_4482425_3382.html'}, {'type': 'image/jpeg', 'length': '29483', 'href': 'http://s1.lemde.fr/image/2014/09/05/534x267/4482472_3_8297_joan-rivers-ici-en-fevrier-2012-est-morte-le_4a2e1ff969f4264ef4c4086e7b243087.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2014/09/04/l-actrice-americaine-joan-rivers-est-morte_4482425_3382.html,L'actrice américaine Joan Rivers est morte,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""L'actrice américaine Joan Rivers est morte""}","Elle avait joué dans « Once Upon a Coffee House », « La Folle Histoire de l'espace » ou encore « Iron Man 3 ».","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Elle avait joué dans «\xa0Once Upon a Coffee House\xa0», «\xa0La Folle Histoire de l'espace\xa0» ou encore «\xa0Iron Man\xa03\xa0».""}","Thu, 04 Sep 2014 21:43:57 GMT","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=4, tm_hour=21, tm_min=43, tm_sec=57, tm_wday=3, tm_yday=247, tm_isdst=0)",http://www.lemonde.fr/tiny/4482425/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2014/09/04/jean-pierre-callu-1929-2014-latiniste-numismate-et-historien-de-l-antiquite_4481601_3382.html'}, {'type': 'image/jpeg', 'length': '15353', 'href': 'http://s2.lemde.fr/image/2014/09/04/534x267/4481646_3_ce42_jean-pierre-callu_ab69c627c9759aba32e33f2c60c07e31.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2014/09/04/jean-pierre-callu-1929-2014-latiniste-numismate-et-historien-de-l-antiquite_4481601_3382.html,"Jean-Pierre Callu (1929-2014), latiniste, numismate et historien de l'Antiquité","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Jean-Pierre Callu (1929-2014), latiniste, numismate et historien de l'Antiquité""}","Numismate, latiniste et membre de l'Institut, l'historien de l'Antiquité romaine est mort le 29 août, à l'âge de 84 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20140912045941/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ""Numismate, latiniste et membre de l'Institut, l'historien de l'Antiquité romaine est mort le 29 août, à l'âge de 84 ans.""}","Thu, 04 Sep 2014 12:58:09 GMT","time.struct_time(tm_year=2014, tm_mon=9, tm_mday=4, tm_hour=12, tm_min=58, tm_sec=9, tm_wday=3, tm_yday=247, tm_isdst=0)",http://www.lemonde.fr/tiny/4481601/,False
