title,title_detail,published,published_parsed,summary,summary_detail,id,guidislink,link,links
Le journaliste Eugène Saccomano est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le journaliste Eugène Saccomano est mort'}","Mon, 07 Oct 2019 19:32:16 +0200","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=7, tm_hour=17, tm_min=32, tm_sec=16, tm_wday=0, tm_yday=280, tm_isdst=0)","La disparition de ce grand commentateur de football a été annoncée par ses deux anciens employeurs, Europe 1 et RTL.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La disparition de ce grand commentateur de football a été annoncée par ses deux anciens employeurs, Europe\xa01 et RTL.'}",https://www.lemonde.fr/disparitions/article/2019/10/07/le-journaliste-eugene-saccomano-est-mort-a-83-ans_6014591_3382.html,True,https://www.lemonde.fr/disparitions/article/2019/10/07/le-journaliste-eugene-saccomano-est-mort-a-83-ans_6014591_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2019/10/07/le-journaliste-eugene-saccomano-est-mort-a-83-ans_6014591_3382.html'}, {'length': '13928', 'type': 'image/jpeg', 'href': 'https://img.lemde.fr/2019/10/07/124/0/4896/2448/644/322/60/0/e9a96c8_5785508-01-06.jpg', 'rel': 'enclosure'}]"
"Le dessinateur et scénariste Philippe Tome, cocréateur du « Petit Spirou », est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le dessinateur et scénariste Philippe Tome, cocréateur du «\xa0Petit Spirou\xa0», est mort'}","Mon, 07 Oct 2019 15:29:32 +0200","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=7, tm_hour=13, tm_min=29, tm_sec=32, tm_wday=0, tm_yday=280, tm_isdst=0)","Inventeur avec Janry d’une version rajeunie du célèbre groom, l’auteur belge de bandes dessinées est mort le 6 octobre, à l’âge de 62 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Inventeur avec Janry d’une version rajeunie du célèbre groom, l’auteur belge de bandes dessinées est mort le 6 octobre, à l’âge de 62\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2019/10/07/le-dessinateur-et-scenariste-philippe-tome-cocreateur-du-petit-spirou-est-mort_6014567_3382.html,True,https://www.lemonde.fr/disparitions/article/2019/10/07/le-dessinateur-et-scenariste-philippe-tome-cocreateur-du-petit-spirou-est-mort_6014567_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2019/10/07/le-dessinateur-et-scenariste-philippe-tome-cocreateur-du-petit-spirou-est-mort_6014567_3382.html'}, {'length': '16942', 'type': 'image/jpeg', 'href': 'https://img.lemde.fr/2019/10/07/33/0/999/499/644/322/60/0/df95842_6kE1VF_6bl3RK5aSYZa8dfg2.jpg', 'rel': 'enclosure'}]"
"La mort du fondateur de la station des Arcs et conseiller de Michel Rocard, Roger Godino","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort du fondateur de la station des Arcs et conseiller de Michel Rocard, Roger Godino'}","Mon, 07 Oct 2019 14:30:13 +0200","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=7, tm_hour=12, tm_min=30, tm_sec=13, tm_wday=0, tm_yday=280, tm_isdst=0)","En 1964, il crée, entouré de son équipe, dont l’architecte Charlotte Perriand, la célèbre station située en Savoie. Proche de l’ancien premier ministre, il participe aux grandes réformes sociales du gouvernement Rocard. Il est mort le 18 septembre, à l’âge de 89 ans","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'En 1964, il crée, entouré de son équipe, dont l’architecte Charlotte Perriand, la célèbre station située en Savoie. Proche de l’ancien premier ministre, il participe aux grandes réformes sociales du gouvernement Rocard. Il est mort le 18 septembre, à l’âge de 89\xa0ans'}",https://www.lemonde.fr/disparitions/article/2019/10/07/la-mort-du-fondateur-de-la-station-des-arcs-et-conseiller-de-michel-rocard-roger-godino_6014556_3382.html,True,https://www.lemonde.fr/disparitions/article/2019/10/07/la-mort-du-fondateur-de-la-station-des-arcs-et-conseiller-de-michel-rocard-roger-godino_6014556_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2019/10/07/la-mort-du-fondateur-de-la-station-des-arcs-et-conseiller-de-michel-rocard-roger-godino_6014556_3382.html'}, {'length': '24630', 'type': 'image/jpeg', 'href': 'https://img.lemde.fr/2019/10/04/101/0/1280/640/644/322/60/0/9265a06_-jraatXXc3x5Tg0ifa_iAXDV.jpg', 'rel': 'enclosure'}]"
"Ginger Baker, explosif batteur de jazz et de rock, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Ginger Baker, explosif batteur de jazz et de rock, est mort'}","Sun, 06 Oct 2019 21:02:24 +0200","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=6, tm_hour=19, tm_min=2, tm_sec=24, tm_wday=6, tm_yday=279, tm_isdst=0)","Connu pour sa participation au trio Cream, il fut un des premiers musiciens de sa génération à se tourner vers les sons africains.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Connu pour sa participation au trio Cream, il fut un des premiers musiciens de sa génération à se tourner vers les sons africains.'}",https://www.lemonde.fr/disparitions/article/2019/10/06/mort-de-ginger-baker-explosif-batteur-de-jazz-et-de-rock_6014449_3382.html,True,https://www.lemonde.fr/disparitions/article/2019/10/06/mort-de-ginger-baker-explosif-batteur-de-jazz-et-de-rock_6014449_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2019/10/06/mort-de-ginger-baker-explosif-batteur-de-jazz-et-de-rock_6014449_3382.html'}, {'length': '19346', 'type': 'image/jpeg', 'href': 'https://img.lemde.fr/2019/10/07/151/0/4645/2318/644/322/60/0/ae1ca15_nY7kjk8_nqdS4F-K4vEqKB57.jpg', 'rel': 'enclosure'}]"
Ultime adieu à l’ancien président Jacques Chirac en Corrèze,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Ultime adieu à l’ancien président Jacques Chirac en Corrèze'}","Sat, 05 Oct 2019 18:31:22 +0200","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=5, tm_hour=16, tm_min=31, tm_sec=22, tm_wday=5, tm_yday=278, tm_isdst=0)","La famille Chirac avait souhaité que ce dernier hommage ait lieu dans le département, terre des racines familiales de l’ex-chef de l’Etat et berceau de sa carrière politique.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La famille Chirac avait souhaité que ce dernier hommage ait lieu dans le département, terre des racines familiales de l’ex-chef de l’Etat et berceau de sa carrière politique.'}",https://www.lemonde.fr/disparitions/article/2019/10/05/ultime-adieu-a-l-ancien-president-jacques-chirac-en-correze_6014378_3382.html,True,https://www.lemonde.fr/disparitions/article/2019/10/05/ultime-adieu-a-l-ancien-president-jacques-chirac-en-correze_6014378_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2019/10/05/ultime-adieu-a-l-ancien-president-jacques-chirac-en-correze_6014378_3382.html'}, {'length': '69597', 'type': 'image/jpeg', 'href': 'https://img.lemde.fr/2019/10/06/560/0/3465/1728/644/322/60/0/758eb0a_pghaL0giC4-83byCEVoICItR.jpg', 'rel': 'enclosure'}]"
Le compositeur géorgien Giya Kancheli est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le compositeur géorgien Giya Kancheli est mort'}","Fri, 04 Oct 2019 11:34:58 +0200","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=4, tm_hour=9, tm_min=34, tm_sec=58, tm_wday=4, tm_yday=277, tm_isdst=0)","Représentant d’un courant musical dit de la « Nouvelle Simplicité » à contre-courant de la création contemporaine, le musicien est mort le 2 octobre, à l’âge de 84 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Représentant d’un courant musical dit de la «\xa0Nouvelle Simplicité\xa0» à contre-courant de la création contemporaine, le musicien est mort le 2\xa0octobre, à l’âge de 84\xa0ans.'}",https://www.lemonde.fr/culture/article/2019/10/04/la-mort-du-compositeur-georgien-giya-kancheli_6014201_3246.html,True,https://www.lemonde.fr/culture/article/2019/10/04/la-mort-du-compositeur-georgien-giya-kancheli_6014201_3246.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/culture/article/2019/10/04/la-mort-du-compositeur-georgien-giya-kancheli_6014201_3246.html'}, {'length': '36701', 'type': 'image/jpeg', 'href': 'https://img.lemde.fr/2019/10/04/241/0/1052/524/644/322/60/0/9f45f1c_MoXvtaeoYVNgHOhKnLklNybq.jpg', 'rel': 'enclosure'}]"
"« Chirac s’opposa à Bush sur l’Irak, car il avait une vision de ce qu’allait être le XXIe siècle »","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': '«\xa0Chirac s’opposa à Bush sur l’Irak, car il avait une vision de ce qu’allait être le XXIe\xa0siècle\xa0»'}","Fri, 04 Oct 2019 11:23:29 +0200","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=4, tm_hour=9, tm_min=23, tm_sec=29, tm_wday=4, tm_yday=277, tm_isdst=0)","Entre Paris et Washington, de 2002 à 2003, la bataille diplomatique sera dure et intense et restera comme l’un des temps forts de l’ère chiraquienne, se remémore, dans sa chronique, Alain Frachon, éditorialiste au « Monde ».","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Entre Paris et Washington, de 2002 à 2003, la bataille diplomatique sera dure et intense et restera comme l’un des temps forts de l’ère chiraquienne, se remémore, dans sa chronique, Alain Frachon, éditorialiste au «\xa0Monde\xa0».'}",https://www.lemonde.fr/idees/article/2019/10/04/chirac-s-opposa-a-bush-sur-l-irak-car-il-avait-une-vision-de-ce-qu-allait-etre-le-xxie-siecle_6014196_3232.html,True,https://www.lemonde.fr/idees/article/2019/10/04/chirac-s-opposa-a-bush-sur-l-irak-car-il-avait-une-vision-de-ce-qu-allait-etre-le-xxie-siecle_6014196_3232.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/idees/article/2019/10/04/chirac-s-opposa-a-bush-sur-l-irak-car-il-avait-une-vision-de-ce-qu-allait-etre-le-xxie-siecle_6014196_3232.html'}, {'length': '31161', 'type': 'image/jpeg', 'href': 'https://img.lemde.fr/2019/10/02/57/0/2200/1098/644/322/60/0/1a5fac4_otT45xZNiB9FkxEyLwYKG-tm.jpg', 'rel': 'enclosure'}]"
"Mort de Roger Taillibert, l’architecte du Stade olympique de Montréal et du Parc des Princes","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de Roger Taillibert, l’architecte du Stade olympique de Montréal et du Parc des Princes'}","Fri, 04 Oct 2019 03:49:41 +0200","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=4, tm_hour=1, tm_min=49, tm_sec=41, tm_wday=4, tm_yday=277, tm_isdst=0)","L’architecte, qui a aussi réalisé la piscine de Deauville, le Stadium de Villeneuve-d’Ascq et le Khalifa Stadium au Qatar, est mort jeudi à Paris à l’âge de 93 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’architecte, qui a aussi réalisé la piscine de Deauville, le Stadium de Villeneuve-d’Ascq et le Khalifa Stadium au Qatar, est mort jeudi à Paris à l’âge de 93\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2019/10/04/mort-de-roger-taillibert-l-architecte-du-stade-olympique-de-montreal-et-du-parc-des-princes_6014146_3382.html,True,https://www.lemonde.fr/disparitions/article/2019/10/04/mort-de-roger-taillibert-l-architecte-du-stade-olympique-de-montreal-et-du-parc-des-princes_6014146_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2019/10/04/mort-de-roger-taillibert-l-architecte-du-stade-olympique-de-montreal-et-du-parc-des-princes_6014146_3382.html'}, {'length': '21244', 'type': 'image/jpeg', 'href': 'https://img.lemde.fr/2019/10/04/217/0/1875/933/644/322/60/0/c96732f_fe8ClItVC9Z3KDK5Z7QxXWhb.jpg', 'rel': 'enclosure'}]"
La mort du cinéaste et écrivain Peter Adam,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort du cinéaste et écrivain Peter Adam'}","Wed, 02 Oct 2019 11:28:23 +0200","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=2, tm_hour=9, tm_min=28, tm_sec=23, tm_wday=2, tm_yday=275, tm_isdst=0)","Documentariste pour la BBC, passionné de cinéma et de théâtre, ami de l’acteur argentin Facundo Bo, l’auteur de nombreux livres et de monographies est mort le 28 septembre à l’âge de 90 ans","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Documentariste pour la BBC, passionné de cinéma et de théâtre, ami de l’acteur argentin Facundo Bo, l’auteur de nombreux livres et de monographies est mort le 28\xa0septembre à l’âge de 90\xa0ans'}",https://www.lemonde.fr/disparitions/article/2019/10/02/la-mort-du-cineaste-et-ecrivain-peter-adam_6013923_3382.html,True,https://www.lemonde.fr/disparitions/article/2019/10/02/la-mort-du-cineaste-et-ecrivain-peter-adam_6013923_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2019/10/02/la-mort-du-cineaste-et-ecrivain-peter-adam_6013923_3382.html'}, {'length': '45490', 'type': 'image/jpeg', 'href': 'https://img.lemde.fr/2019/10/01/0/0/880/439/644/322/60/0/8a82ef2_2YYx8XTLBaOd2LsB6BbdQ46a.jpg', 'rel': 'enclosure'}]"
La cantatrice Jessye Norman est morte,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La cantatrice Jessye Norman est morte'}","Tue, 01 Oct 2019 18:25:46 +0200","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=1, tm_hour=16, tm_min=25, tm_sec=46, tm_wday=1, tm_yday=274, tm_isdst=0)","L’Américaine, qui fit une carrière dans le monde entier, laisse un important legs discographique et audiovisuel.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20191008060658/https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’Américaine, qui fit une carrière dans le monde entier, laisse un important legs discographique et audiovisuel.'}",https://www.lemonde.fr/disparitions/article/2019/10/01/la-cantatrice-jessye-norman-est-morte_6013814_3382.html,True,https://www.lemonde.fr/disparitions/article/2019/10/01/la-cantatrice-jessye-norman-est-morte_6013814_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2019/10/01/la-cantatrice-jessye-norman-est-morte_6013814_3382.html'}, {'length': '38323', 'type': 'image/jpeg', 'href': 'https://img.lemde.fr/2019/10/01/27/0/3250/1623/644/322/60/0/8b49651_3K-i9JHKLWgHNthHP8-WO_z3.jpg', 'rel': 'enclosure'}]"
