links,link,title,title_detail,summary,summary_detail,published,published_parsed,id,guidislink
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2017/08/17/l-actrice-et-militante-syrienne-fadwa-suleimane-est-morte_5173385_3382.html'}, {'type': 'image/jpeg', 'length': '32995', 'href': 'http://s1.lemde.fr/image/2017/08/17/644x322/5173384_3_2a96_photo-de-l-actrice-et-activiste-prise-a-pa_4640b3c3985717116084ed65168284d5.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2017/08/17/l-actrice-et-militante-syrienne-fadwa-suleimane-est-morte_5173385_3382.html,L’actrice et militante syrienne Fadwa Suleimane est morte,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’actrice et militante syrienne Fadwa Suleimane est morte'}","Elle avait participé, en 2011, aux premières manifestations avant d’être contrainte de prendre la route de l’exil, et de rejoindre la France.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Elle avait participé, en\xa02011, aux premières manifestations avant d’être contrainte de prendre la route de l’exil, et de rejoindre la France.'}","Thu, 17 Aug 2017 14:43:20 +0200","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=17, tm_hour=12, tm_min=43, tm_sec=20, tm_wday=3, tm_yday=229, tm_isdst=0)",http://www.lemonde.fr/tiny/5173385/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/musiques/article/2017/08/16/simon-carpentier-chanteur-du-groupe-her-est-mort_5173041_1654986.html'}, {'type': 'image/jpeg', 'length': '39204', 'href': 'http://s2.lemde.fr/image/2017/08/16/644x322/5173040_3_b8f0_simon-carpentier-a-gauche-et-victor-solf-du_8792b938176b1c7a8b6b1c8bea1374b3.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/musiques/article/2017/08/16/simon-carpentier-chanteur-du-groupe-her-est-mort_5173041_1654986.html,"Simon Carpentier, chanteur du groupe Her, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Simon Carpentier, chanteur du groupe Her, est mort'}","Agé de 27 ans, le musicien souffrait depuis plusieurs années d’un cancer, qui l’a emporté dimanche 13 août.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Agé de 27 ans, le musicien souffrait depuis plusieurs années d’un cancer, qui l’a emporté dimanche 13 août.'}","Wed, 16 Aug 2017 17:31:36 +0200","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=16, tm_hour=15, tm_min=31, tm_sec=36, tm_wday=2, tm_yday=228, tm_isdst=0)",http://www.lemonde.fr/tiny/5173041/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2017/08/16/mort-de-la-romanciere-jacqueline-monsigny_5172826_3382.html'}, {'type': 'image/jpeg', 'length': '29608', 'href': 'http://s1.lemde.fr/image/2017/08/16/644x322/5172825_3_82f1_jacqueline-monsigny-lors-d-une-seance-de_5e4c0015a4e36f864d5dda39c12f65da.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2017/08/16/mort-de-la-romanciere-jacqueline-monsigny_5172826_3382.html,Mort de la romancière Jacqueline Monsigny,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de la romancière Jacqueline Monsigny'}","Connue pour ses fresques romanesques, Jacqueline Monsigny s’est éteinte le 15 août à Paris à l’âge de 86 ans. Elle était l’auteure d’une quarantaine d’ouvrages.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Connue pour ses fresques romanesques, Jacqueline Monsigny s’est éteinte le 15\xa0août à Paris à l’âge de 86 ans. Elle était l’auteure d’une quarantaine d’ouvrages.'}","Wed, 16 Aug 2017 11:01:40 +0200","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=16, tm_hour=9, tm_min=1, tm_sec=40, tm_wday=2, tm_yday=228, tm_isdst=0)",http://www.lemonde.fr/tiny/5172826/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2017/08/11/la-mort-du-designer-alain-richard_5171580_3382.html'}, {'type': 'image/jpeg', 'length': '18603', 'href': 'http://s2.lemde.fr/image/2017/08/11/644x322/5171579_3_ad2b_alain-richard-en-1955_e195b693f04492ef94aa94cc79a58a2b.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2017/08/11/la-mort-du-designer-alain-richard_5171580_3382.html,La mort du designer Alain Richard,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort du designer Alain Richard'}","Créateur de sièges, luminaires et meubles, il fut l’un des designers les plus marquants des années 1950 à 1970, avec, à son actif, l’aménagement de l’aéroport d’Orly et des stations de RER Auber et Nanterre-Préfecture.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Créateur de sièges, luminaires et meubles, il fut l’un des designers les plus marquants des années 1950 à 1970, avec, à son actif, l’aménagement de l’aéroport d’Orly et des stations de RER Auber et Nanterre-Préfecture.'}","Fri, 11 Aug 2017 18:03:08 +0200","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=11, tm_hour=16, tm_min=3, tm_sec=8, tm_wday=4, tm_yday=223, tm_isdst=0)",http://www.lemonde.fr/tiny/5171580/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2017/08/11/le-philosophe-et-ecrivain-jean-paul-curnier-est-mort_5171521_3382.html'}, {'type': 'image/jpeg', 'length': '29980', 'href': 'http://s1.lemde.fr/image/2017/08/11/644x322/5171519_3_4b96_jean-paul-curnier_d90d18d43455432c9b42da7038951eb6.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2017/08/11/le-philosophe-et-ecrivain-jean-paul-curnier-est-mort_5171521_3382.html,Le philosophe et écrivain Jean-Paul Curnier est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le philosophe et écrivain Jean-Paul Curnier est mort'}","Auteur d’une œuvre très politique, placée sous le signe du rire et d’une ironie parfois féroce, le penseur et philosophe, ami et disciple de Jean Baudrillard, est mort à l’âge de 66 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Auteur d’une œuvre très politique, placée sous le signe du rire et d’une ironie parfois féroce, le penseur et philosophe, ami et disciple de Jean Baudrillard, est mort à l’âge de 66\xa0ans.'}","Fri, 11 Aug 2017 16:48:02 +0200","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=11, tm_hour=14, tm_min=48, tm_sec=2, tm_wday=4, tm_yday=223, tm_isdst=0)",http://www.lemonde.fr/tiny/5171521/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2017/08/11/la-mort-de-rene-chapus-professeur-de-droit_5171486_3382.html'}, {'type': 'image/jpeg', 'length': '33379', 'href': 'http://s2.lemde.fr/image/2017/08/11/644x322/5171485_3_dad4_rene-chapus-en-1992_27aaf3052f7d8923fdb1e3cfc1212aa1.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2017/08/11/la-mort-de-rene-chapus-professeur-de-droit_5171486_3382.html,"Mort de René Chapus, professeur de droit","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de René Chapus, professeur de droit'}","Le professeur et chercheur en droit administratif, dont l’œuvre a nourri des générations d’étudiants, de chercheurs et de praticiens, est mort le 28 juillet à Paris à l’âge de 92 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le professeur et chercheur en droit administratif, dont l’œuvre a nourri des générations d’étudiants, de chercheurs et de praticiens, est mort le 28 juillet à Paris à l’âge de 92 ans.'}","Fri, 11 Aug 2017 15:52:03 +0200","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=11, tm_hour=13, tm_min=52, tm_sec=3, tm_wday=4, tm_yday=223, tm_isdst=0)",http://www.lemonde.fr/tiny/5171486/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2017/08/10/la-mort-du-negationniste-ernst-zundel_5171077_3382.html'}, {'type': 'image/jpeg', 'length': '37461', 'href': 'http://s1.lemde.fr/image/2017/08/10/644x322/5171075_3_abcd_ernst-zundel-en-2005_33165861a9ec92b934785752a440991b.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2017/08/10/la-mort-du-negationniste-ernst-zundel_5171077_3382.html,La mort du négationniste Ernst Zündel,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort du négationniste Ernst Zündel'}","Condamné à plusieurs reprises pour propagande antisémite et négationniste, affirmant notamment que le génocide des juifs d’Europe n’avait jamais eu lieu, l’éditeur et pamphlétaire allemand Ernst Zündel est mort.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Condamné à plusieurs reprises pour propagande antisémite et négationniste, affirmant notamment que le génocide des juifs d’Europe n’avait jamais eu lieu, l’éditeur et pamphlétaire allemand Ernst Zündel est mort.'}","Thu, 10 Aug 2017 17:24:45 +0200","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=10, tm_hour=15, tm_min=24, tm_sec=45, tm_wday=3, tm_yday=222, tm_isdst=0)",http://www.lemonde.fr/tiny/5171077/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2017/08/10/ernst-zundel-en-8-dates_5171074_3382.html'}]",http://www.lemonde.fr/disparitions/article/2017/08/10/ernst-zundel-en-8-dates_5171074_3382.html,Ernst Zündel en 8 dates,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Ernst Zündel en 8 dates'}",,"{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': ''}","Thu, 10 Aug 2017 17:23:06 +0200","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=10, tm_hour=15, tm_min=23, tm_sec=6, tm_wday=3, tm_yday=222, tm_isdst=0)",http://www.lemonde.fr/tiny/5171074/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/musiques/article/2017/08/09/mort-de-glen-campbell-musicien-et-chanteur-americain_5170373_1654986.html'}, {'type': 'image/jpeg', 'length': '33704', 'href': 'http://s2.lemde.fr/image/2017/08/09/644x322/5170366_3_c4a1_le-chanteur-glen-campbell-a-malibu_07cbcd437bd610e379a6b0932512ae67.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/musiques/article/2017/08/09/mort-de-glen-campbell-musicien-et-chanteur-americain_5170373_1654986.html,"Mort de Glen Campbell, musicien et chanteur américain","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de Glen Campbell, musicien et chanteur américain'}","Atteint de la maladie d’Alzheimer, diagnostiquée en 2011, il s’est éteint, mardi 7 août, à l’âge de 81 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Atteint de la maladie d’Alzheimer, diagnostiquée en 2011, il s’est éteint, mardi 7 août, à l’âge de 81 ans.'}","Wed, 09 Aug 2017 10:45:27 +0200","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=9, tm_hour=8, tm_min=45, tm_sec=27, tm_wday=2, tm_yday=221, tm_isdst=0)",http://www.lemonde.fr/tiny/5170373/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2017/08/08/mort-d-helene-martini-imperatrice-des-nuits-parisiennes_5170079_3382.html'}, {'type': 'image/jpeg', 'length': '47327', 'href': 'http://s1.lemde.fr/image/2017/08/08/644x322/5170077_3_3fd5_helene-martini-le-31-mai-2013-dans-sa-c_d32e3922225187d04c4bcad79352b1bd.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2017/08/08/mort-d-helene-martini-imperatrice-des-nuits-parisiennes_5170079_3382.html,"Mort d’Hélène Martini, « impératrice » des nuits parisiennes","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort d’Hélène Martini, «\xa0impératrice\xa0» des nuits parisiennes'}","Les Bouffes parisiens, Mogador, la Comédie de Paris, les Folies Bergère, mais aussi des cabarets-clubs comme le Raspoutine et le Shéhérazade : Hélène Martini a régné sur un empire de dix-sept cabarets et salles de spectacle.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20170817230108/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Les Bouffes parisiens, Mogador, la Comédie de Paris, les Folies Bergère, mais aussi des cabarets-clubs comme le Raspoutine et le Shéhérazade : Hélène Martini a régné sur un empire de dix-sept cabarets et salles de spectacle.'}","Tue, 08 Aug 2017 16:59:50 +0200","time.struct_time(tm_year=2017, tm_mon=8, tm_mday=8, tm_hour=14, tm_min=59, tm_sec=50, tm_wday=1, tm_yday=220, tm_isdst=0)",http://www.lemonde.fr/tiny/5170079/,False
