links,link,title,title_detail,summary,summary_detail,published,published_parsed,id,guidislink
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2016/07/03/le-realisateur-americain-michael-cimino-est-mort_4962698_3382.html'}, {'type': 'image/jpeg', 'length': '39188', 'href': 'http://s1.lemde.fr/image/2016/07/03/644x322/4962703_3_7e60_michael-cimino-en-aout-2012_399a898c98597e8d4bf9b87a23b5f3bb.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2016/07/03/le-realisateur-americain-michael-cimino-est-mort_4962698_3382.html,Le réalisateur américain Michael Cimino est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le réalisateur américain Michael Cimino est mort'}",Le cinéaste oscarisé était âgé de 77 ans. On lui doit « Voyage au bout de l’enfer » et « La Porte du paradis ».,"{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le cinéaste oscarisé était âgé de 77 ans. On lui doit «\xa0Voyage au bout de l’enfer\xa0» et «\xa0La Porte du paradis\xa0».'}","Sun, 03 Jul 2016 05:22:26 +0200","time.struct_time(tm_year=2016, tm_mon=7, tm_mday=3, tm_hour=3, tm_min=22, tm_sec=26, tm_wday=6, tm_yday=185, tm_isdst=0)",http://www.lemonde.fr/tiny/4962698/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2016/07/02/mort-d-elie-wiesel-rescape-de-la-shoah-et-prix-nobel-de-la-paix_4962652_3382.html'}, {'type': 'image/jpeg', 'length': '28708', 'href': 'http://s2.lemde.fr/image/2016/07/02/644x322/4962656_3_aed5_elie-wiesel-en-mai-2010_f2b10ce44322fbf5fa16adc297381ebc.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2016/07/02/mort-d-elie-wiesel-rescape-de-la-shoah-et-prix-nobel-de-la-paix_4962652_3382.html,"Mort d’Elie Wiesel, rescapé de la Shoah et prix Nobel de la paix","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort d’Elie Wiesel, rescapé de la Shoah et prix Nobel de la paix'}","L’écrivain, auteur d’une œuvre abondante sur la Shoah, est mort samedi. Il avait 87 ans. Il avait été déporté à Auschwitz en mai 1944, à l’âge de 15 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’écrivain, auteur d’une œuvre abondante sur la Shoah, est mort samedi. Il avait 87 ans. Il avait été déporté à Auschwitz en mai\xa01944, à l’âge de 15 ans.'}","Sat, 02 Jul 2016 22:01:52 +0200","time.struct_time(tm_year=2016, tm_mon=7, tm_mday=2, tm_hour=20, tm_min=1, tm_sec=52, tm_wday=5, tm_yday=184, tm_isdst=0)",http://www.lemonde.fr/tiny/4962652/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/politique/video/2016/07/02/michel-rocard-monument-de-la-ve-republique_4962648_823448.html'}, {'type': 'image/jpeg', 'length': '53375', 'href': 'http://s1.lemde.fr/image/2016/07/02/644x322/4962647_3_30e4_2016-07-02-5f084a7-13947-lz0b7g_46ff65617f7e3c142a90205ab73dbcd0.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/politique/video/2016/07/02/michel-rocard-monument-de-la-ve-republique_4962648_823448.html,"Michel Rocard, monument de la Ve République","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Michel Rocard, monument de la Ve République'}","Théoricien de la deuxième gauche, il est mort samedi après-midi. Premier ministre de François Mitterrand de mai 1988 à mai 1991, il était âgé de 85 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Théoricien de la deuxième gauche, il est mort samedi après-midi. Premier ministre de François Mitterrand de mai 1988 à mai 1991, il était âgé de 85 ans.'}","Sat, 02 Jul 2016 20:59:22 +0200","time.struct_time(tm_year=2016, tm_mon=7, tm_mday=2, tm_hour=18, tm_min=59, tm_sec=22, tm_wday=5, tm_yday=184, tm_isdst=0)",http://www.lemonde.fr/tiny/4962648/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/politique/article/2016/07/02/mort-de-michel-rocard-hollande-salue-une-grande-figure-de-la-republique-et-de-la-gauche_4962639_823448.html'}, {'type': 'image/jpeg', 'length': '32925', 'href': 'http://s2.lemde.fr/image/2016/07/03/644x322/4962694_3_13ea_francois-hollande-sert-la-main-de-michel_9771ca25237581ddd54ee27d8961de79.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/politique/article/2016/07/02/mort-de-michel-rocard-hollande-salue-une-grande-figure-de-la-republique-et-de-la-gauche_4962639_823448.html,Mort de Michel Rocard : Hollande salue une « grande figure de la République et de la gauche »,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de Michel Rocard : Hollande salue une «\xa0grande figure de la République et de la gauche »'}","Le premier ministre Manuel Valls, issu lui-même du rocardisme, a jugé qu’il incarnait « la modernisation de la gauche et l’exigence de dire la vérité ».","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le premier ministre Manuel Valls, issu lui-même du rocardisme, a jugé qu’il incarnait « la modernisation de la gauche et l’exigence de dire la vérité ».'}","Sat, 02 Jul 2016 20:38:10 +0200","time.struct_time(tm_year=2016, tm_mon=7, tm_mday=2, tm_hour=18, tm_min=38, tm_sec=10, tm_wday=5, tm_yday=184, tm_isdst=0)",http://www.lemonde.fr/tiny/4962639/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2016/07/02/l-ancien-premier-ministre-michel-rocard-est-mort_4962631_3382.html'}, {'type': 'image/jpeg', 'length': '33072', 'href': 'http://s1.lemde.fr/image/2016/07/02/644x322/4962629_3_f64d_michel-rocard-le-22-decembre-2010-afp-photo_ec1f8e9937faf5709f58e8402d41e3d8.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2016/07/02/l-ancien-premier-ministre-michel-rocard-est-mort_4962631_3382.html,L’ancien premier ministre Michel Rocard est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’ancien premier ministre Michel Rocard est mort'}","Premier ministre de François Mitterrand de 1988 à 1991, Michel Rocard est mort samedi après-midi. Il avait 85 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Premier ministre de François Mitterrand de 1988 à 1991, Michel Rocard est mort samedi après-midi. Il avait 85 ans.'}","Sat, 02 Jul 2016 20:15:39 +0200","time.struct_time(tm_year=2016, tm_mon=7, tm_mday=2, tm_hour=18, tm_min=15, tm_sec=39, tm_wday=5, tm_yday=184, tm_isdst=0)",http://www.lemonde.fr/tiny/4962631/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2016/07/01/mort-d-yves-bonnefoy-poete-traducteur-et-critique-d-art_4962338_3382.html'}, {'type': 'image/jpeg', 'length': '30372', 'href': 'http://s2.lemde.fr/image/2016/07/01/644x322/4962337_3_955d_france-paris-2001-portrait-d-yves-bonnefoy_601dfff9dc077103e20f050de8ccae08.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2016/07/01/mort-d-yves-bonnefoy-poete-traducteur-et-critique-d-art_4962338_3382.html,"Mort d’Yves Bonnefoy, poète, traducteur et critique d’art","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort d’Yves Bonnefoy, poète, traducteur et critique d’art'}","Plusieurs fois pressenti pour le prix Nobel de littérature, l’ancien professeur au Collège de France s’est éteint vendredi à l’âge de 93 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Plusieurs fois pressenti pour le prix Nobel de littérature, l’ancien professeur au Collège de France s’est éteint vendredi à l’âge de 93\xa0ans.'}","Fri, 01 Jul 2016 23:51:05 +0200","time.struct_time(tm_year=2016, tm_mon=7, tm_mday=1, tm_hour=21, tm_min=51, tm_sec=5, tm_wday=4, tm_yday=183, tm_isdst=0)",http://www.lemonde.fr/tiny/4962338/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2016/07/01/la-doyenne-des-francais-est-morte-a-114-ans_4962301_3382.html'}, {'type': 'image/jpeg', 'length': '63974', 'href': 'http://s1.lemde.fr/image/2016/07/01/644x322/4962299_3_2bfd_files-this-file-photo-taken-on-october-11_464528ef9179d275da68b4448bbb8c24.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2016/07/01/la-doyenne-des-francais-est-morte-a-114-ans_4962301_3382.html,La doyenne des Français est morte à 114 ans,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La doyenne des Français est morte à 114 ans'}","Eudoxie Baboul, née en 1901 en Guyane, a fait « un malaise » chez elle et a été transportée au centre hospitalier de Cayenne.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Eudoxie Baboul, née en 1901 en Guyane, a fait «\xa0un malaise\xa0» chez elle et a été transportée au centre hospitalier de Cayenne.'}","Fri, 01 Jul 2016 19:18:11 +0200","time.struct_time(tm_year=2016, tm_mon=7, tm_mday=1, tm_hour=17, tm_min=18, tm_sec=11, tm_wday=4, tm_yday=183, tm_isdst=0)",http://www.lemonde.fr/tiny/4962301/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/disparitions/article/2016/07/01/mort-d-harry-halbreich-musicologue-belge_4962041_3382.html'}, {'type': 'image/jpeg', 'length': '39129', 'href': 'http://s2.lemde.fr/image/2016/07/01/644x322/4962039_3_3b51_harry-halbreich-capture-video_c8eb4a9b3657756a20e348e62710a6fb.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/disparitions/article/2016/07/01/mort-d-harry-halbreich-musicologue-belge_4962041_3382.html,"Mort d’Harry Halbreich, musicologue belge","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort d’Harry Halbreich, musicologue belge'}","Musicologue spécialiste de la musique moderne et contemporaine, et par ailleurs producteur de radio, Harry Halbreich est décédé le 27 juin à l’âge de 85 ans.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Musicologue spécialiste de la musique moderne et contemporaine, et par ailleurs producteur de radio, Harry Halbreich est décédé le 27\xa0juin à l’âge de 85 ans.'}","Fri, 01 Jul 2016 14:34:50 +0200","time.struct_time(tm_year=2016, tm_mon=7, tm_mday=1, tm_hour=12, tm_min=34, tm_sec=50, tm_wday=4, tm_yday=183, tm_isdst=0)",http://www.lemonde.fr/tiny/4962041/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/musiques/article/2016/06/30/scotty-moore-guitariste-d-elvis-presley-est-mort_4961112_1654986.html'}, {'type': 'image/jpeg', 'length': '44844', 'href': 'http://s1.lemde.fr/image/2016/06/30/644x322/4961110_3_1daa_elvis-presley-sur-scene-en-1957-entoure-du-g_bbca60e1999e700d436fe2a7454faecb.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/musiques/article/2016/06/30/scotty-moore-guitariste-d-elvis-presley-est-mort_4961112_1654986.html,"Scotty Moore, guitariste d’Elvis Presley, est mort","{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Scotty Moore, guitariste d’Elvis Presley, est mort'}","Pionnier du rock, le musicien américain avait accompagné le « King » de 1954 à 1968.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Pionnier du rock, le musicien américain avait accompagné le « King\xa0» de 1954 à 1968.'}","Thu, 30 Jun 2016 11:03:12 +0200","time.struct_time(tm_year=2016, tm_mon=6, tm_mday=30, tm_hour=9, tm_min=3, tm_sec=12, tm_wday=3, tm_yday=182, tm_isdst=0)",http://www.lemonde.fr/tiny/4961112/,False
"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.lemonde.fr/cinema/article/2016/06/27/l-acteur-italien-de-western-spaghetti-bud-spencer-est-mort_4959275_3476.html'}, {'type': 'image/jpeg', 'length': '21331', 'href': 'http://s2.lemde.fr/image/2016/06/27/644x322/4959274_3_133f_bud-spencer-recoit-une-recompense-pour-l_d959f40d5b6d2093e3f1b769d643ec08.jpg', 'rel': 'enclosure'}]",http://www.lemonde.fr/cinema/article/2016/06/27/l-acteur-italien-de-western-spaghetti-bud-spencer-est-mort_4959275_3476.html,L’acteur italien de western spaghetti Bud Spencer est mort,"{'type': 'text/plain', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’acteur italien de western spaghetti Bud Spencer est mort'}","Le duo qu’il forme avec Terence Hill distribue, de 1967 à 1994, les coups de poing dans des films de séries B.","{'type': 'text/html', 'language': None, 'base': 'http://web.archive.org/web/20160703044023/http://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le duo qu’il forme avec Terence Hill distribue, de 1967 à 1994, les coups de poing dans des films de séries B.'}","Mon, 27 Jun 2016 23:46:45 +0200","time.struct_time(tm_year=2016, tm_mon=6, tm_mday=27, tm_hour=21, tm_min=46, tm_sec=45, tm_wday=0, tm_yday=179, tm_isdst=0)",http://www.lemonde.fr/tiny/4959275/,False
