title,title_detail,published,published_parsed,summary,summary_detail,id,guidislink,link,links,media_content,media_credit,credit,content
Mort d’Elizabeth II : seuls 27 % des Britanniques sont favorables à l’abolition de la monarchie,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort d’Elizabeth II\xa0: seuls 27\xa0% des Britanniques sont favorables à l’abolition de la monarchie'}","Fri, 09 Sep 2022 06:00:13 +0200","time.struct_time(tm_year=2022, tm_mon=9, tm_mday=9, tm_hour=4, tm_min=0, tm_sec=13, tm_wday=4, tm_yday=252, tm_isdst=0)","Le maintien d’un haut degré de popularité à l’égard d’une institution, pourtant proche des « élites » contestées, restera comme l’un des succès de la reine, morte le 8 septembre, à l’âge de 96 ans","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le maintien d’un haut degré de popularité à l’égard d’une institution, pourtant proche des «\xa0élites\xa0» contestées, restera comme l’un des succès de la reine, morte le 8\xa0septembre, à l’âge de 96 ans'}",https://www.lemonde.fr/disparitions/article/2022/09/09/mort-d-elizabeth-ii-seuls-27-des-britanniques-sont-favorables-a-l-abolition-de-la-monarchie_6140852_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/09/09/mort-d-elizabeth-ii-seuls-27-des-britanniques-sont-favorables-a-l-abolition-de-la-monarchie_6140852_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/09/09/mort-d-elizabeth-ii-seuls-27-des-britanniques-sont-favorables-a-l-abolition-de-la-monarchie_6140852_3382.html'}]","[{'url': 'https://img.lemde.fr/2019/12/20/254/0/3800/1900/644/322/60/0/6ae8310_wCwP3ZHbEThqEH4Prrmu68Gu.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'SAUL LOEB,RONNY HARTMANN / AFP'}]","SAUL LOEB,RONNY HARTMANN / AFP",
La reine Elizabeth II dans les arts : sept décennies de respect,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La reine Elizabeth II dans les arts\xa0: sept décennies de respect'}","Fri, 09 Sep 2022 04:00:07 +0200","time.struct_time(tm_year=2022, tm_mon=9, tm_mday=9, tm_hour=2, tm_min=0, tm_sec=7, tm_wday=4, tm_yday=252, tm_isdst=0)","Photographiée et peinte des milliers de fois, jouée au cinéma et au théâtre, Elizabeth II, morte le 8 septembre à l’âge de 96 ans, a quasiment toujours été représentée de façon respectueuse, voire révérencieuse.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Photographiée et peinte des milliers de fois, jouée au cinéma et au théâtre, Elizabeth\xa0II, morte le 8 septembre à l’âge de 96 ans, a quasiment toujours été représentée de façon respectueuse, voire révérencieuse.'}",https://www.lemonde.fr/disparitions/article/2022/09/09/la-reine-elizabeth-ii-dans-les-arts-sept-decennies-de-respect_6140833_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/09/09/la-reine-elizabeth-ii-dans-les-arts-sept-decennies-de-respect_6140833_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/09/09/la-reine-elizabeth-ii-dans-les-arts-sept-decennies-de-respect_6140833_3382.html'}]","[{'url': 'https://img.lemde.fr/2017/01/19/1388.5/0/2829/1414/644/322/60/0/0a000e3_22767-kqvkeg.haqvvx6r.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'T.C.D / VISUAL Press Agency'}]",T.C.D / VISUAL Press Agency,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’actrice Claire Foy qui incarne Elizabeth dans la série « The Crown », dont\xa0la première saison reconstitue les dix premières années de règne de la souveraine.'}]"
"Elizabeth II, la reine des collectionneuses d’art","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Elizabeth II, la reine des collectionneuses d’art'}","Fri, 09 Sep 2022 02:00:10 +0200","time.struct_time(tm_year=2022, tm_mon=9, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=10, tm_wday=4, tm_yday=252, tm_isdst=0)","Peintures, photographies, bijoux… Avec 200 000 œuvres, la couronne britannique possède le plus grand patrimoine artistique privé du monde.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Peintures, photographies, bijoux… Avec 200 000 œuvres, la couronne britannique possède le plus grand patrimoine artistique privé du monde.'}",https://www.lemonde.fr/disparitions/article/2022/09/09/elizabeth-ii-la-reine-des-collectionneuses-d-art_6140830_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/09/09/elizabeth-ii-la-reine-des-collectionneuses-d-art_6140830_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/09/09/elizabeth-ii-la-reine-des-collectionneuses-d-art_6140830_3382.html'}]","[{'url': 'https://img.lemde.fr/2017/01/23/893/0/2385/1184/644/322/60/0/21a4c78_32544-swjg6d.3x5dish5mi.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'The Andy Warhol Foundation for the Visual Arts, Inc./ Adagp, Paris , 2017'}]","The Andy Warhol Foundation for the Visual Arts, Inc./ Adagp, Paris , 2017","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': '«\xa0Reigning Queens : Queen Elizabeth II of the United Kingdom\xa0» (1985), d’Andy Warhol.'}]"
"Elizabeth II et Margaret Thatcher, deux rivales au pouvoir","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Elizabeth II et Margaret Thatcher, deux rivales au pouvoir'}","Fri, 09 Sep 2022 00:00:08 +0200","time.struct_time(tm_year=2022, tm_mon=9, tm_mday=8, tm_hour=22, tm_min=0, tm_sec=8, tm_wday=3, tm_yday=251, tm_isdst=0)","Les rapports entre la reine et sa première ministre de 1979 à 1990 ont été difficiles. A l’heure de la mort de « The Queen », le 8 septembre à 96 ans, retour sur ce que fut sa relation avec  « Maggie ».","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Les rapports entre la reine et sa première ministre de 1979 à 1990 ont été difficiles. A l’heure de la mort de «\xa0The Queen\xa0», le 8 septembre à 96 ans, retour sur ce que fut sa relation avec  «\xa0Maggie\xa0».'}",https://www.lemonde.fr/disparitions/article/2022/09/09/elizabeth-ii-et-margaret-thatcher-deux-rivales-au-pouvoir_6140825_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/09/09/elizabeth-ii-et-margaret-thatcher-deux-rivales-au-pouvoir_6140825_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/09/09/elizabeth-ii-et-margaret-thatcher-deux-rivales-au-pouvoir_6140825_3382.html'}]","[{'url': 'https://img.lemde.fr/2017/01/17/310/0/2760/1380/644/322/60/0/c2d50f5_13676-z3tq89.hb63pd5cdi.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'Popperfoto/Getty Images'}]",Popperfoto/Getty Images,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'En 1979, la reine Elizabeth II avec la première ministre Margaret Thatcher (1979-1990), à Lusaka, en Zambie.'}]"
"Elizabeth II, de la seconde guerre mondiale au Brexit, a été une reine européenne","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Elizabeth II, de la seconde guerre mondiale au Brexit, a été une reine européenne'}","Thu, 08 Sep 2022 22:00:03 +0200","time.struct_time(tm_year=2022, tm_mon=9, tm_mday=8, tm_hour=20, tm_min=0, tm_sec=3, tm_wday=3, tm_yday=251, tm_isdst=0)","La souveraine, morte le 8 septembre à 96 ans, semblait reconnaître l’existence d’un lien entre la paix et la construction européenne. Mais celle qui avait eu 19 ans en 1945 n’aura pas su faire entendre cet attachement aux Britanniques favorables à la sortie de l’Union.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La souveraine, morte le 8 septembre à 96 ans, semblait reconnaître l’existence d’un lien entre la paix et la construction européenne. Mais celle qui avait eu 19 ans en\xa01945 n’aura pas su faire entendre cet attachement aux Britanniques favorables à la sortie de l’Union.'}",https://www.lemonde.fr/disparitions/article/2022/09/08/elizabeth-ii-de-la-seconde-guerre-mondiale-au-brexit-a-ete-une-reine-europeenne_6140817_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/09/08/elizabeth-ii-de-la-seconde-guerre-mondiale-au-brexit-a-ete-une-reine-europeenne_6140817_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/09/08/elizabeth-ii-de-la-seconde-guerre-mondiale-au-brexit-a-ete-une-reine-europeenne_6140817_3382.html'}]","[{'url': 'https://img.lemde.fr/2019/12/20/225/0/2063/1031/644/322/60/0/14b781a_9RmGibHKitSqMnVkIfy2cP_y.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'JOHN MACDOUGALL / AFP'}]",JOHN MACDOUGALL / AFP,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La reine Elizabeth II, à Berlin, lors d’une visite en Allemagne, le 25 juin 2015.'}]"
Elizabeth II et Lady Diana : histoire d’une fracture,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Elizabeth II et Lady Diana : histoire d’une fracture'}","Thu, 08 Sep 2022 21:20:26 +0200","time.struct_time(tm_year=2022, tm_mon=9, tm_mday=8, tm_hour=19, tm_min=20, tm_sec=26, tm_wday=3, tm_yday=251, tm_isdst=0)","La mort brutale de la « princesse des cœurs », en 1997, avait déclenché une immense émotion dans le royaume. La reine, morte le 8 septembre à l’âge de 96 ans, était, de son côté, restée de glace. Au bout de six jours, elle consentit à sortir de son mutisme.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort brutale de la «\xa0princesse des cœurs\xa0», en 1997, avait déclenché une immense émotion dans le royaume. La reine, morte le 8 septembre à l’âge de 96 ans, était, de son côté, restée de glace. Au bout de six jours, elle consentit à sortir de son mutisme.'}",https://www.lemonde.fr/disparitions/article/2022/09/08/elizabeth-ii-et-lady-diana-histoire-d-une-fracture_6140810_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/09/08/elizabeth-ii-et-lady-diana-histoire-d-une-fracture_6140810_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/09/08/elizabeth-ii-et-lady-diana-histoire-d-une-fracture_6140810_3382.html'}]","[{'url': 'https://img.lemde.fr/2017/01/17/332/0/2074/1031/644/322/60/0/6dbe0bf_3206-1cjahzl.saxn06yldi.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'PRINCESS DIANA ARCHIVE/GETTY IMAGES'}]",PRINCESS DIANA ARCHIVE/GETTY IMAGES,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La reine Elizabeth II avec Lady Diana et le prince Charles, en septembre 1981, à Braemar (Ecosse).'}]"
"« Lilibet », second lieutenant Windsor, matricule 230873","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': '«\xa0Lilibet\xa0», second lieutenant Windsor, matricule\xa0230873'}","Thu, 08 Sep 2022 20:49:48 +0200","time.struct_time(tm_year=2022, tm_mon=9, tm_mday=8, tm_hour=18, tm_min=49, tm_sec=48, tm_wday=3, tm_yday=251, tm_isdst=0)","Entre 1939 et 1945, la future reine Elizabeth II, morte le 8 septembre, a participé à l’effort de guerre en tant qu’apprentie conductrice d’ambulances et mécanicienne sous le matricule 230873.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Entre 1939 et 1945, la future reine Elizabeth II, morte le 8 septembre, a participé à l’effort de guerre en tant qu’apprentie conductrice d’ambulances et mécanicienne sous le matricule\xa0230873.'}",https://www.lemonde.fr/disparitions/article/2022/09/08/lilibet-second-lieutenant-windsor-matricule-230873_6140803_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/09/08/lilibet-second-lieutenant-windsor-matricule-230873_6140803_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/09/08/lilibet-second-lieutenant-windsor-matricule-230873_6140803_3382.html'}]","[{'url': 'https://img.lemde.fr/2019/12/18/422/0/2406/1203/644/322/60/0/added76_Z56KaWNuig4SSRL1hTT9KJML.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'AP'}]",AP,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La princesse Elizabeth assise au volant d’une ambulance, en avril 1945.'}]"
La reine Elizabeth II était la plus ancienne cheffe d’Etat du monde,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La reine Elizabeth\xa0II était la plus ancienne cheffe d’Etat du monde'}","Thu, 08 Sep 2022 19:46:48 +0200","time.struct_time(tm_year=2022, tm_mon=9, tm_mday=8, tm_hour=17, tm_min=46, tm_sec=48, tm_wday=3, tm_yday=251, tm_isdst=0)","Arrivée sur le trône au temps des trains à vapeur et du mariage à vie, la reine, morte le 8 septembre à l’âge de 96 ans, aura voyagé en supersonique et connu le divorce de trois de ses enfants.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Arrivée sur le trône au temps des trains à vapeur et du mariage à vie, la reine, morte le 8\xa0septembre à l’âge de 96 ans, aura voyagé en supersonique et connu le divorce de trois de ses enfants.'}",https://www.lemonde.fr/disparitions/article/2022/09/08/la-reine-elizabeth-ii-etait-la-plus-ancienne-cheffe-d-etat-du-monde_6140789_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/09/08/la-reine-elizabeth-ii-etait-la-plus-ancienne-cheffe-d-etat-du-monde_6140789_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/09/08/la-reine-elizabeth-ii-etait-la-plus-ancienne-cheffe-d-etat-du-monde_6140789_3382.html'}]","[{'url': 'https://img.lemde.fr/2017/01/19/1045/0/6595/3282/644/322/60/0/38ccc02_22918-1721i8c.dirt4ndn29.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'YOUSUF KARSH/CAMERAPRESS/GAMMA-RAPHO'}]",YOUSUF KARSH/CAMERAPRESS/GAMMA-RAPHO,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Elizabeth II en 1951.'}]"
"Mort de la reine Elizabeth II : après soixante-dix ans d’un règne hors du commun, la souveraine laisse une empreinte durable sur la monarchie","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de la reine Elizabeth\xa0II\xa0: après soixante-dix ans d’un règne hors du commun, la souveraine laisse une empreinte durable sur la monarchie'}","Thu, 08 Sep 2022 19:36:59 +0200","time.struct_time(tm_year=2022, tm_mon=9, tm_mday=8, tm_hour=17, tm_min=36, tm_sec=59, tm_wday=3, tm_yday=251, tm_isdst=0)","La reine, qui avait accédé au trône en 1952 à l’âge de 25 ans, est morte le 8 septembre à 96 ans. Monarque impassible, vénérée par le peuple britannique, cheffe des armées, gouverneure suprême de l’Eglise anglicane, elle a été l’interlocutrice de quinze premiers ministres britanniques.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La reine, qui avait accédé au trône en\xa01952 à l’âge de 25\xa0ans, est morte le 8 septembre à\xa096 ans. Monarque impassible, vénérée par le peuple britannique, cheffe des armées, gouverneure suprême de l’Eglise anglicane, elle a été l’interlocutrice de quinze premiers ministres britanniques.'}",https://www.lemonde.fr/disparitions/article/2022/09/08/la-reine-elizabeth-ii-est-morte-apres-soixante-dix-ans-d-un-regne-hors-du-commun_6140784_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/09/08/la-reine-elizabeth-ii-est-morte-apres-soixante-dix-ans-d-un-regne-hors-du-commun_6140784_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/09/08/la-reine-elizabeth-ii-est-morte-apres-soixante-dix-ans-d-un-regne-hors-du-commun_6140784_3382.html'}]","[{'url': 'https://img.lemde.fr/2017/01/17/181/0/2000/1000/644/322/60/0/c1a8c45_4896-dxk824.ovpfogvi.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'PA PHOTOS/ABACA'}]",PA PHOTOS/ABACA,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'En juin 1977.'}]"
"La mort de Louis-Fabrice Latour, figure des vins de Bourgogne","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort de Louis-Fabrice Latour, figure des vins de Bourgogne'}","Thu, 08 Sep 2022 17:39:25 +0200","time.struct_time(tm_year=2022, tm_mon=9, tm_mday=8, tm_hour=15, tm_min=39, tm_sec=25, tm_wday=3, tm_yday=251, tm_isdst=0)","Depuis 1999, il présidait aux destinées de la maison de négoce beaunoise Louis Latour, fondée au XVIIIe siècle. Il s’est éteint dans la nuit du 5 au 6 septembre, à l’âge de 58 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Depuis 1999, il présidait aux destinées de la maison de négoce beaunoise Louis Latour, fondée au XVIIIe\xa0siècle. Il s’est éteint dans la nuit du 5 au 6\xa0septembre, à l’âge de 58\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2022/09/08/la-mort-de-louis-fabrice-latour-figure-des-vins-de-bourgogne_6140761_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/09/08/la-mort-de-louis-fabrice-latour-figure-des-vins-de-bourgogne_6140761_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/09/08/la-mort-de-louis-fabrice-latour-figure-des-vins-de-bourgogne_6140761_3382.html'}]","[{'url': 'https://img.lemde.fr/2022/09/08/240/0/2048/1024/644/322/60/0/28e8ccc_1662651191691-maxnewsworldtwo947118.jpg', 'width': '644', 'height': '322'}]","[{'scheme': 'urn:ebu', 'content': 'Gilles Mathieu PHOTOPQR/LE BIEN PUBLIC/MAXPPP'}]",Gilles Mathieu PHOTOPQR/LE BIEN PUBLIC/MAXPPP,"[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Louis-Fabrice Latour, à Beaune, en Côte-d’Or, le 17 novembre 2013.'}]"
