title,title_detail,published,published_parsed,summary,summary_detail,id,guidislink,link,links,media_content,content,media_credit,credit
Mort du chanteur cubain Pablo Milanés,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort du chanteur cubain Pablo Milanés'}","Tue, 22 Nov 2022 06:43:47 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=22, tm_hour=5, tm_min=43, tm_sec=47, tm_wday=1, tm_yday=326, tm_isdst=0)","L’artiste était l’un des représentants de la Nueva Trova, ce genre musical fondé sur des textes poétiques et engagés surgi dans la foulée de la révolution cubaine de 1959. Il est mort à Madrid à l’âge de 79 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’artiste était l’un des représentants de la Nueva Trova, ce genre musical fondé sur des textes poétiques et engagés surgi dans la foulée de la révolution cubaine de 1959. Il est mort à Madrid à l’âge de 79\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2022/11/22/mort-du-chanteur-cubain-pablo-milanes_6151009_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/11/22/mort-du-chanteur-cubain-pablo-milanes_6151009_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/11/22/mort-du-chanteur-cubain-pablo-milanes_6151009_3382.html'}]","[{'url': 'https://img.lemde.fr/2022/11/22/109/0/1635/817/644/322/60/0/19bee4b_5802139-01-06.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Pablo Milanés au festival du cinéma latino-américain, au théâtre Karl Marx de la\xa0Havane, le 4\xa0décembre\xa02014.'}]","[{'scheme': 'urn:ebu', 'content': 'YAMIL LAGE / AFP'}]",YAMIL LAGE / AFP
Le compositeur et écrivain Ned Rorem est mort,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le compositeur et écrivain Ned Rorem est mort'}","Mon, 21 Nov 2022 17:24:24 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=21, tm_hour=16, tm_min=24, tm_sec=24, tm_wday=0, tm_yday=325, tm_isdst=0)","Figure musicale et intellectuelle très réputée aux Etats-Unis, l’artiste est mort à l’âge de 99 ans à son domicile new-yorkais, le 18 novembre.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Figure musicale et intellectuelle très réputée aux Etats-Unis, l’artiste est mort à l’âge de 99\xa0ans à son domicile new-yorkais, le 18\xa0novembre.'}",https://www.lemonde.fr/disparitions/article/2022/11/21/le-compositeur-et-ecrivain-ned-rorem-est-mort_6150938_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/11/21/le-compositeur-et-ecrivain-ned-rorem-est-mort_6150938_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/11/21/le-compositeur-et-ecrivain-ned-rorem-est-mort_6150938_3382.html'}]","[{'url': 'https://img.lemde.fr/2022/11/18/472/624/1303/652/644/322/60/0/d880770_6054a0308248452a8b1e9d81d2f64f75-1-0890c6bb4a6d41608c5b3d974c68e86e.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Ned Rorem, le 23 octobre 2003, au Curtis Institute of Music, à Philadelphie, en Pennsylvanie (Etats-Unis).'}]","[{'scheme': 'urn:ebu', 'content': 'JESSICA GRIFFIN/AP'}]",JESSICA GRIFFIN/AP
"Mort d’Hebe de Bonafini, porte-drapeau des Mères de la place de Mai, qui ont défié la dictature en Argentine","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort d’Hebe de Bonafini, porte-drapeau des Mères de\xa0la\xa0place de\xa0Mai, qui ont défié la dictature en\xa0Argentine'}","Sun, 20 Nov 2022 22:49:14 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=20, tm_hour=21, tm_min=49, tm_sec=14, tm_wday=6, tm_yday=324, tm_isdst=0)","La militante des droits humains, dont les deux fils ont disparu pendant la dictature, était devenue une figure controversée, notamment pour son soutien inébranlable aux époux Kirchner. En 2017, elle avait été mise en examen dans le cadre d’une enquête pour détournement de fonds.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La militante des droits humains, dont les deux fils ont disparu pendant la dictature, était devenue une figure controversée, notamment pour son soutien inébranlable aux époux Kirchner. En\xa02017, elle avait été mise en examen dans le cadre d’une enquête pour détournement de fonds.'}",https://www.lemonde.fr/international/article/2022/11/20/mort-de-hebe-de-bonafini-porte-drapeau-des-meres-de-la-place-de-mai-qui-ont-defie-la-dictature-en-argentine_6150812_3210.html,True,https://www.lemonde.fr/international/article/2022/11/20/mort-de-hebe-de-bonafini-porte-drapeau-des-meres-de-la-place-de-mai-qui-ont-defie-la-dictature-en-argentine_6150812_3210.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/international/article/2022/11/20/mort-de-hebe-de-bonafini-porte-drapeau-des-meres-de-la-place-de-mai-qui-ont-defie-la-dictature-en-argentine_6150812_3210.html'}]","[{'url': 'https://img.lemde.fr/2022/11/20/303/0/2700/1350/644/322/60/0/add47c8_5785779-01-06.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Hebe de Bonafini, à Buenos Aires, le 4 mai 2017.'}]","[{'scheme': 'urn:ebu', 'content': 'JUAN MABROMATA / AFP'}]",JUAN MABROMATA / AFP
"La mort de Charles Melman, grand maître de la psychanalyse","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort de Charles Melman, grand maître de la psychanalyse'}","Sun, 20 Nov 2022 19:50:25 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=20, tm_hour=18, tm_min=50, tm_sec=25, tm_wday=6, tm_yday=324, tm_isdst=0)","Proche de Jacques Lacan, il fut responsable des enseignements au sein de son Ecole freudienne de Paris. Il s’est éteint le 20 octobre à l’âge de 91 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Proche de Jacques Lacan, il fut responsable des enseignements au sein de son Ecole freudienne de Paris. Il s’est éteint le 20\xa0octobre à l’âge de 91\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2022/11/20/la-mort-de-charles-melman-grand-maitre-de-la-psychanalyse_6150804_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/11/20/la-mort-de-charles-melman-grand-maitre-de-la-psychanalyse_6150804_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/11/20/la-mort-de-charles-melman-grand-maitre-de-la-psychanalyse_6150804_3382.html'}]","[{'url': 'https://img.lemde.fr/2022/11/20/70/0/848/424/644/322/60/0/581318f_1668961058562-image0.jpeg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Charles Melman.'}]","[{'scheme': 'urn:ebu', 'content': 'collection particulière'}]",collection particulière
"Pascal Josèphe, grande figure de l’audiovisuel français, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Pascal Josèphe, grande figure de l’audiovisuel français, est mort'}","Sun, 20 Nov 2022 14:22:35 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=22, tm_sec=35, tm_wday=6, tm_yday=324, tm_isdst=0)","Successivement directeur des antennes de plusieurs chaînes privées et publiques (TF1, La Cinq, France 2 et France 3) et fondateur du cabinet de conseil IMCA, Pascal Josèphe avait été pressenti en 2015 pour diriger France Télévisions.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Successivement directeur des antennes de plusieurs chaînes privées et publiques (TF1, La Cinq, France 2 et France 3) et fondateur du cabinet de conseil IMCA, Pascal Josèphe avait été pressenti en\xa02015 pour diriger France Télévisions.'}",https://www.lemonde.fr/disparitions/article/2022/11/20/mort-de-pascal-josephe-directeur-des-antennes-de-plusieurs-chaines-de-television_6150765_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/11/20/mort-de-pascal-josephe-directeur-des-antennes-de-plusieurs-chaines-de-television_6150765_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/11/20/mort-de-pascal-josephe-directeur-des-antennes-de-plusieurs-chaines-de-television_6150765_3382.html'}]","[{'url': 'https://img.lemde.fr/2022/11/20/80/0/1511/755/644/322/60/0/26363b3_1668948921362-000-app2003050371614.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Patrick de Carolis (à gauche) avec Pascal Josèphe, à Paris,  le 25 avril 2003.'}]","[{'scheme': 'urn:ebu', 'content': 'MARTIN BUREAU / AFP'}]",MARTIN BUREAU / AFP
Le cinéaste Jean-Marie Straub est mort,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le cinéaste Jean-Marie Straub est mort'}","Sun, 20 Nov 2022 13:43:39 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=43, tm_sec=39, tm_wday=6, tm_yday=324, tm_isdst=0)","L’auteur, avec sa compagne, Danièle Huillet, disparue en 2006, d’une œuvre exigeante et intensément poétique a écrit l’une des pages les plus importantes de la modernité cinématographique. Il est mort dans la nuit du 19 au 20 novembre, à l’âge de 89 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’auteur, avec sa compagne, Danièle Huillet, disparue en\xa02006, d’une œuvre exigeante et intensément poétique a écrit l’une des pages les plus importantes de la modernité cinématographique. Il est mort dans la nuit du 19 au 20\xa0novembre, à l’âge de 89\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2022/11/20/le-cineaste-jean-marie-straub-est-mort_6150761_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/11/20/le-cineaste-jean-marie-straub-est-mort_6150761_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/11/20/le-cineaste-jean-marie-straub-est-mort_6150761_3382.html'}]","[{'url': 'https://img.lemde.fr/2022/11/20/307/0/4964/2482/644/322/60/0/18f6f99_1668947559285-epalivetwo850403.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jean-Marie Straub, lors du 70ᵉ\xa0Festival international du film à Locarno, en Suisse, le 10\xa0août\xa02017.'}]","[{'scheme': 'urn:ebu', 'content': 'URS FLUEELER / EPA/via MAXPPP'}]",URS FLUEELER / EPA/via MAXPPP
"La mort de Pierre de Lagarde, créateur des « Chefs-d’œuvre en péril »","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort de Pierre de Lagarde, créateur des «\xa0Chefs-d’œuvre en péril\xa0»'}","Thu, 17 Nov 2022 15:00:13 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=17, tm_hour=14, tm_min=0, tm_sec=13, tm_wday=3, tm_yday=321, tm_isdst=0)","Erudit, historien, philosophe, poète à ses heures, il avait révolutionné le regard des Français sur le patrimoine. Il est mort à Paris le 15 novembre, à l’âge de 90 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Erudit, historien, philosophe, poète à ses heures, il avait révolutionné le regard des Français sur le patrimoine. Il est mort à Paris le 15\xa0novembre, à l’âge de 90\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2022/11/17/la-mort-de-pierre-de-lagarde-createur-des-chefs-d-uvre-en-peril_6150323_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/11/17/la-mort-de-pierre-de-lagarde-createur-des-chefs-d-uvre-en-peril_6150323_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/11/17/la-mort-de-pierre-de-lagarde-createur-des-chefs-d-uvre-en-peril_6150323_3382.html'}]","[{'url': 'https://img.lemde.fr/2022/11/17/72/0/467/233/644/322/60/0/17e7e8d_1668666009901-lagarde-pierre.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’historien et philosophe Pierre de Lagarde.'}]","[{'scheme': 'urn:ebu', 'content': 'Plon'}]",Plon
Disparition de la sculptrice Lee Bontecou,"{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Disparition de la sculptrice Lee Bontecou'}","Mon, 14 Nov 2022 16:11:49 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=14, tm_hour=15, tm_min=11, tm_sec=49, tm_wday=0, tm_yday=318, tm_isdst=0)","L’artiste nord-américaine fut l’une des plus originales des plasticiens apparus au début de la décennie 1960 aux Etats-Unis. Elle est décédée le 8 novembre, à 91 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’artiste nord-américaine fut l’une des plus originales des plasticiens apparus au début de la décennie 1960 aux Etats-Unis. Elle est décédée le 8\xa0novembre, à 91\xa0ans.'}",https://www.lemonde.fr/disparitions/article/2022/11/14/disparition-de-la-sculptrice-lee-bontecou_6149820_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/11/14/disparition-de-la-sculptrice-lee-bontecou_6149820_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/11/14/disparition-de-la-sculptrice-lee-bontecou_6149820_3382.html'}]","[{'url': 'https://img.lemde.fr/2022/11/14/206/0/2000/1000/644/322/60/0/f2af580_1668438210954-ap04021203846.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Lee Bontecou devant l’une de ses œuvres le 12 février 2004, au Musée d’art contemporain de Chicago.'}]","[{'scheme': 'urn:ebu', 'content': 'M. SPENCER GREEN / AP'}]",M. SPENCER GREEN / AP
"Mort de Bao Tong, ancien dirigeant du PCC devenu dissident","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mort de Bao Tong, ancien dirigeant du PCC devenu dissident'}","Sun, 13 Nov 2022 12:51:32 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=13, tm_hour=11, tm_min=51, tm_sec=32, tm_wday=6, tm_yday=317, tm_isdst=0)","Secrétaire politique du premier ministre Zhao Ziyang à partir de 1980, ce conseiller réputé libéral affirmait que le mouvement des étudiants d’avril 1989 n’était pas opposé au Parti, ce qui lui valut d’être arrêté. Il s’est éteint le 9 novembre à l’âge de 90 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Secrétaire politique du premier ministre Zhao Ziyang à partir de 1980, ce conseiller réputé libéral affirmait que le mouvement des étudiants d’avril 1989 n’était pas opposé au Parti, ce qui lui valut d’être arrêté. Il s’est éteint le 9 novembre à l’âge de 90 ans.'}",https://www.lemonde.fr/disparitions/article/2022/11/13/mort-de-bao-tong-ancien-dirigeant-du-pcc-devenu-dissident_6149668_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/11/13/mort-de-bao-tong-ancien-dirigeant-du-pcc-devenu-dissident_6149668_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/11/13/mort-de-bao-tong-ancien-dirigeant-du-pcc-devenu-dissident_6149668_3382.html'}]","[{'url': 'https://img.lemde.fr/2022/11/12/215/0/3556/1778/644/322/60/0/c1ba34b_1668264276440-000-hkg4636386.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Bao Tong, à Pékin, le 22 février 2011.'}]","[{'scheme': 'urn:ebu', 'content': 'GOH CHAI HIN / AFP'}]",GOH CHAI HIN / AFP
"Keith Levene, guitariste de Public Image Limited et cofondateur de The Clash, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Keith Levene, guitariste de Public Image Limited et cofondateur de The Clash, est mort'}","Sun, 13 Nov 2022 12:04:55 +0100","time.struct_time(tm_year=2022, tm_mon=11, tm_mday=13, tm_hour=11, tm_min=4, tm_sec=55, tm_wday=6, tm_yday=317, tm_isdst=0)","Le musicien, qui fut membre de deux groupes mythiques du punk rock et du post-punk britannique, s’est éteint à l’âge de 65 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le musicien, qui fut membre de deux groupes mythiques du punk rock et du post-punk britannique, s’est éteint à l’âge de 65 ans.'}",https://www.lemonde.fr/disparitions/article/2022/11/13/keith-levene-guitariste-de-public-image-limited-et-cofondateur-de-the-clash-est-mort_6149664_3382.html,True,https://www.lemonde.fr/disparitions/article/2022/11/13/keith-levene-guitariste-de-public-image-limited-et-cofondateur-de-the-clash-est-mort_6149664_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2022/11/13/keith-levene-guitariste-de-public-image-limited-et-cofondateur-de-the-clash-est-mort_6149664_3382.html'}]","[{'url': 'https://img.lemde.fr/2022/11/13/307/0/2394/1197/644/322/60/0/cddf737_1668331722057-gettyimages-1202774717.jpg', 'width': '644', 'height': '322'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Keith Levene, à Atlanta, le 24 avril 1980.'}]","[{'scheme': 'urn:ebu', 'content': 'Tom Hill / Getty Images'}]",Tom Hill / Getty Images
