id,published,title,summary
https://www.lemonde.fr/culture/article/2023/02/15/mort-d-alain-goraguer-un-homme-arrangeant_6161912_3246.html,"Wed, 15 Feb 2023 13:08:34 +0100","Mort d’Alain Goraguer, un homme arrangeant","Le pianiste, arrangeur, orchestrateur et compositeur, mort le 13 février à l’âge de 91 ans, avait notamment travaillé pour Boris Vian, Serge Gainsbourg et Jean Ferrat."
https://www.lemonde.fr/disparitions/article/2023/02/14/le-compositeur-et-arrangeur-alain-goraguer-est-mort_6161812_3382.html,"Tue, 14 Feb 2023 18:31:52 +0100","Alain Goraguer, compositeur et arrangeur, est mort","Il a été l’arrangeur des grands de la chanson française comme Serge Gainsbourg, Boris Vian ou encore Jean Ferrat. Alain Goraguer est mort lundi soir à Paris."
https://www.lemonde.fr/disparitions/article/2023/02/14/la-mort-de-beatrice-stambul-psychiatre-et-pionniere-de-la-reduction-des-risques_6161785_3382.html,"Tue, 14 Feb 2023 14:54:47 +0100","La mort de Béatrice Stambul, psychiatre et pionnière de la réduction des risques","Militante acharnée de l’accès à la santé pour les personnes stigmatisées ou exclues, la psychiatre intervenait dans les zones de conflit à l’étranger comme dans les quartiers défavorisés de Marseille. Elle s’est éteinte le 8 février, à l’âge de 74 ans."
https://www.lemonde.fr/disparitions/article/2023/02/14/la-mort-du-plus-celebre-des-espions-norvegiens-arne-treholt_6161781_3382.html,"Tue, 14 Feb 2023 14:39:33 +0100","La mort du plus célèbre des espions norvégiens, Arne Treholt","Condamné à vingt ans de prison en 1985 après avoir été reconnu coupable d’espionnage pour le compte du KGB, l’ancien journaliste, secrétaire d’Etat et diplomate avait été gracié sept ans plus tard. Il est décédé le 12 février à Moscou, à l’âge de 80 ans."
https://www.lemonde.fr/culture/article/2023/02/14/trugoy-rappeur-du-mythique-groupe-de-la-soul-est-mort_6161762_3246.html,"Tue, 14 Feb 2023 12:02:14 +0100","Trugoy, rappeur du mythique groupe De La Soul, est mort","Une des trois voix du groupe de rap américain De La Soul, de son vrai nom David Jolicoeur, s’est tue le 12 février, à l’âge de 54 ans. Il souffrait d’insuffisance cardiaque."
https://www.lemonde.fr/disparitions/article/2023/02/13/hans-modrow-dernier-chef-de-gouvernement-communiste-de-la-rda-est-mort_6161679_3382.html,"Mon, 13 Feb 2023 18:57:28 +0100","Hans Modrow, dernier chef de gouvernement communiste de la RDA, est mort","Son court passage à la tête d’une RDA à l’agonie au lendemain de la chute du mur de Berlin fut marqué par une ouverture politique inédite. Il s’est éteint le 11 février, à l’âge de 95 ans."
https://www.lemonde.fr/disparitions/article/2023/02/13/l-architecte-adrien-fainsilber-auteur-de-la-cite-des-sciences-et-de-la-geode-est-mort-a-91-ans_6161640_3382.html,"Mon, 13 Feb 2023 11:41:00 +0100","L’architecte Adrien Fainsilber, auteur de la Cité des sciences et de la Géode, est mort à 91 ans",Il est aussi l’auteur du Musée d’Art moderne et contemporain de Strasbourg et a conçu le palais de justice d’Avignon.
https://www.lemonde.fr/culture/article/2023/02/13/trugoy-du-groupe-de-hip-hop-de-la-soul-meurt-a-54-ans_6161580_3246.html,"Mon, 13 Feb 2023 03:15:54 +0100","Trugoy, du groupe de hip-hop De La Soul, meurt à 54 ans","Membre du trio emblématique du rap East Coast des années 1990, le musicien souffrait depuis plusieurs années d’insuffisance cardiaque."
https://www.lemonde.fr/disparitions/article/2023/02/11/robert-hebras-dernier-survivant-d-oradour-sur-glane-est-mort_6161439_3382.html,"Sat, 11 Feb 2023 11:03:48 +0100","Robert Hébras, dernier survivant du massacre d’Oradour-sur-Glane, est mort","Le 10 juin 1944, il réussit, blessé, à s’échapper de la grange où il avait été enfermé avec une soixantaine d’otages par les SS de la division Das Reich. Le massacre fera 643 morts. Robert Hébras, qui n’avait cessé depuis d’effectuer un travail de mémoire, s’est éteint samedi à l’âge de 97 ans."
https://www.lemonde.fr/disparitions/article/2023/02/11/le-cineaste-carlos-saura-rebelle-tranquille-face-a-la-censure-franquiste-est-mort_6161423_3382.html,"Sat, 11 Feb 2023 09:44:20 +0100","Le cinéaste Carlos Saura, rebelle tranquille face à la censure franquiste, est mort","Le réalisateur, rendu célèbre par des films comme « Cria cuervos », « La Chasse » ou « La Cousine Angélique », s’est éteint, le 10 février, à l’âge de 91 ans."
https://www.lemonde.fr/disparitions/article/2023/02/10/le-realisateur-espagnol-carlos-saura-est-mort_6161337_3382.html,"Fri, 10 Feb 2023 16:55:16 +0100",Le réalisateur espagnol Carlos Saura est mort,"Le cinéaste, qui avait 91 ans, s’était fait une renommée mondiale sous la dictature franquiste avec des films comme « Peppermint frappé » ou « Cria cuervos »."
https://www.lemonde.fr/disparitions/article/2023/02/09/burt-bacharach-maitre-de-la-musique-pop-aux-500-chansons-est-mort_6161173_3382.html,"Thu, 09 Feb 2023 16:19:57 +0100","Burt Bacharach, maître de la musique pop aux 500 chansons, est mort","Génie musical, il a composé des mélodies éternelles comme « Don’t Make Me Over » ou « Raindrops Keep Falling on My Head », et lancé la carrière de la chanteuse Dionne Warwick. Ce couturier de la pop est mort le 8 février à l’âge de 94 ans."
https://www.lemonde.fr/disparitions/article/2023/02/08/mort-du-journaliste-bertrand-girod-de-l-ain_6161030_3382.html,"Wed, 08 Feb 2023 15:08:12 +0100",Mort du journaliste Bertrand Girod de l’Ain,"Il faisait partie de ces rares hommes qui ont su pleinement mener deux carrières, comme journaliste puis comme professeur en sciences de l’éducation. Bertrand Girod de l’Ain, ancien collaborateur du « Monde », est mort, le 27 janvier, à l’âge de 98 ans."
https://www.lemonde.fr/disparitions/article/2023/02/08/la-mort-de-la-plasticienne-tcheque-kveta-pacovska_6161028_3382.html,"Wed, 08 Feb 2023 14:57:21 +0100",La mort de la plasticienne tchèque Kveta Pacovska,"Connu pour son travail sur les livres d’art destinés à la jeunesse, la graphiste et plasticienne tchèque s’est éteinte le 6 février, à l’âge de 94 ans."
https://www.lemonde.fr/disparitions/article/2023/02/08/mort-de-miroslav-blazevic-l-ex-selectionneur-qui-avait-amene-les-croates-a-la-troisieme-place-du-mondial-1998_6160988_3382.html,"Wed, 08 Feb 2023 11:28:03 +0100","Mort de Miroslav Blazevic, l’ex-sélectionneur qui avait mené les Croates à la troisième place du Mondial 1998","L’ancien joueur puis entraîneur de football avait réalisé un exploit en qualifiant la sélection aux damiers pour les demi-finales de la Coupe du monde en France, trois ans après la fin de la guerre civile dans son pays."
https://www.lemonde.fr/disparitions/article/2023/02/07/daniel-defert-philosophe-sociologue-et-figure-de-la-lutte-contre-le-sida-est-mort_6160909_3382.html,"Tue, 07 Feb 2023 21:16:45 +0100","Daniel Defert, philosophe, sociologue et figure de la lutte contre le sida, est mort","L’universitaire a été à l’origine de la création de l’association Aides en 1984, après la disparition de son compagnon, Michel Foucault."
https://www.lemonde.fr/disparitions/article/2023/02/06/mort-de-l-ex-premier-ministre-communiste-tchecoslovaque-lubomir-strougal_6160786_3382.html,"Mon, 06 Feb 2023 22:36:39 +0100",Mort de l’ex-premier ministre communiste tchécoslovaque Lubomir Strougal,"Comme de nombreux dirigeants tchécoslovaques de l’ère communiste totalitaire, l’ancien chef de gouvernement échappa à toutes les tentatives de le tenir responsable des crimes du régime."
https://www.lemonde.fr/disparitions/article/2023/02/06/disparition-de-pervez-musharraf-ex-dictateur-du-pakistan-partisan-d-une-democratie-controlee_6160709_3382.html,"Mon, 06 Feb 2023 10:35:13 +0100","Disparition de Pervez Musharraf, ex-dictateur du Pakistan, partisan d’une « démocratie contrôlée »","L’ancien président est mort à Dubaï le 5 février, à l’âge de 79 ans, a annoncé l’armée pakistanaise, dimanche. L’assassinat de Benazir Bhutto, ancienne première ministre, avait précipité la fin de son règne."
https://www.lemonde.fr/international/article/2023/02/05/pervez-musharraf-ancien-dirigeant-pakistanais-est-mort_6160601_3210.html,"Sun, 05 Feb 2023 08:01:12 +0100","Pervez Musharraf, ancien dirigeant pakistanais, est mort","L’ancien président est mort à Dubaï, où il vivait en exil, à l’âge de 79 ans, a annoncé l’armée pakistanaise, dimanche."
https://www.lemonde.fr/disparitions/video/2023/02/03/mort-de-paco-rabanne-quand-il-predisait-qu-on-travaillerait-moins-en-l-an-2000_6160455_3382.html,"Fri, 03 Feb 2023 17:38:03 +0100",Mort de Paco Rabanne : quand il prédisait qu’« on travaillerait moins » en l’an 2000,"Interrogé sur Antenne 2 en 1978, le couturier décrivait sa vision de la mode et de la société de l’an 2000."
https://www.lemonde.fr/disparitions/article/2023/02/03/paco-rabanne-couturier-visionnaire-est-mort_6160426_3382.html,"Fri, 03 Feb 2023 14:33:05 +0100","Paco Rabanne, couturier visionnaire, est mort","Si son nom fut synonyme de blockbusters en parfumerie ou de prédictions aussi catastrophiques que farfelues, ses choix audacieux de matériaux, sa vision avant-gardiste et sa liberté créative ont influencé toute une génération de couturiers. Il est mort à l’âge de 88 ans."
https://www.lemonde.fr/disparitions/article/2023/02/02/nicole-lattes-figure-emblematique-de-l-edition-est-morte_6160251_3382.html,"Thu, 02 Feb 2023 12:21:47 +0100","Nicole Lattès, figure emblématique de l’édition, est morte","Connue pour son flair, l’éditrice, passée par JC Lattès, NiL, Robert Laffont et Allary, accompagna les ouvrages de nombreuses personnalités, de Jacques Chirac à Jean d’Ormesson en passant par Michel Drucker. Elle est morte le 31 janvier, à 84 ans."
https://www.lemonde.fr/culture/article/2023/02/02/philippe-tesson-un-veritable-passionne-de-theatre_6160242_3246.html,"Thu, 02 Feb 2023 11:14:10 +0100","Philippe Tesson, un véritable passionné de théâtre","Amoureux des planches, le journaliste, mort à l’âge de 94 ans, était devenu le propriétaire du Théâtre de poche-Montparnasse, à Paris, après avoir tenu une chronique théâtrale durant six décennies."
https://www.lemonde.fr/disparitions/article/2023/02/02/le-journaliste-philippe-tesson-est-mort_6160230_3382.html,"Thu, 02 Feb 2023 10:33:06 +0100","Philippe Tesson, journaliste, patron de presse et passionné de théâtre et de littérature, est mort","Le fondateur du « Quotidien de Paris », qu’il dirigea de 1974 à 1994, est mort le 1er février, à l’âge de 94 ans."
https://www.lemonde.fr/disparitions/article/2023/02/01/gabriel-tacchino-fleuron-du-piano-francais-est-mort_6160130_3382.html,"Wed, 01 Feb 2023 15:54:09 +0100","Gabriel Tacchino, fleuron du piano français, est mort","Le musicien français, auteur de la première intégrale discographique de l’œuvre pour piano de Francis Poulenc, dont il était proche, s’est éteint le 29 janvier à l’âge de 88 ans."
https://www.lemonde.fr/disparitions/article/2023/02/01/jean-francois-sabouret-specialiste-et-chroniqueur-du-japon-est-mort_6160120_3382.html,"Wed, 01 Feb 2023 14:35:58 +0100","Jean-François Sabouret, spécialiste et chroniqueur du Japon, est mort","Directeur de recherche émérite au CNRS, ce sociologue aura contribué, par ses nombreux livres et ses chroniques sur France Inter, à diffuser une vision moins caricaturale du Japon. Il s’est éteint, le 31 janvier, à l’âge de 76 ans."
https://www.lemonde.fr/culture/article/2023/01/31/adama-niane-gentleman-acteur-est-mort_6159986_3246.html,"Tue, 31 Jan 2023 14:37:19 +0100","Adama Niane, gentleman acteur, est mort","Il restera dans les mémoires pour son face-à-face dans la série « Lupin » avec Omar Sy, qui a salué un homme d’une « bienveillance rare ». Il s’est éteint à Paris, le 29 janvier, à l’âge de 56 ans."
https://www.lemonde.fr/disparitions/article/2023/01/31/la-mort-de-vo-van-ai-militant-des-droits-de-l-homme-et-de-la-liberte-religieuse-au-vietnam_6159984_3382.html,"Tue, 31 Jan 2023 14:36:37 +0100","La mort de Vo Van Ai, militant des droits de l’homme et de la liberté religieuse au Vietnam","Connu pour avoir lancé, à la fin des années 1970, la campagne « Un bateau pour le Vietnam » en faveur des boat people fuyant le nouveau régime communiste, il déposa en 1985 la toute première plainte pour violations des droits de l’homme à l’ONU, contre le gouvernement vietnamien. Il est décédé le 26 janvier, à l’âge de 87 ans."
https://www.lemonde.fr/disparitions/article/2023/01/30/mort-du-chanteur-barrett-strong-icone-de-la-motown_6159868_3382.html,"Mon, 30 Jan 2023 16:27:04 +0100","Le chanteur Barrett Strong, icône de la Motown, est mort","Artiste fondateur du célèbre label et brillant compositeur, il était notamment l’auteur de « Money (That’s What I Want) ». Il a collaboré avec Norman Whitfield sur des classiques tels que « I Heard it Through the Grapevine » et « Papa Was a Rollin’Stone »."
https://www.lemonde.fr/disparitions/article/2023/01/30/la-mort-de-claude-gerard-figure-emblematique-du-cinema-independant-parisien_6159828_3382.html,"Mon, 30 Jan 2023 09:14:44 +0100","La mort de Claude Gérard, figure emblématique du cinéma indépendant parisien","Homme engagé, l’exploitant du cinéma l’Espace Saint-Michel programmait des films ouverts sur le monde et les gardait longtemps à l’affiche, pour faire vivre le débat d’idées. Il s’est éteint le 24 janvier, à l’âge de 77 ans."
https://www.lemonde.fr/disparitions/article/2023/01/30/le-resistant-et-deporte-jacques-bloch-est-mort_6159821_3382.html,"Mon, 30 Jan 2023 07:27:10 +0100",Le résistant et déporté Jacques Bloch est mort,"Après avoir rejoint le maquis en février 1944, il libère Guéret, puis est arrêté et torturé par la Gestapo. Juif et résistant, il est envoyé à Buchenwald dans l’un des derniers convois. Il est décédé le 28 janvier, à l’âge de 98 ans."
https://www.lemonde.fr/disparitions/article/2023/01/29/mort-de-tom-verlaine-heros-rimbaldien-du-punk-new-yorkais_6159785_3382.html,"Sun, 29 Jan 2023 19:14:11 +0100","Mort de Tom Verlaine, héros rimbaldien du punk new-yorkais","Le chanteur et guitariste américain, leader du groupe Television et amateur de poésie française, s’est éteint à l’âge de 73 ans."
